gbifID,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
922792581,CC_BY_4_0,,,,,,,,,naturgucker,naturgucker,,,HUMAN_OBSERVATION,,,,,325551874,,1319392442,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2013-08-22 00:00:00+00:00,,234,234,2013,8,22,,,,,,,,,,,,NORTH_AMERICA,,,,CR,,,,Golfo Dulce Lodge,,,,,,,,,8.658924,-83.257828,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,DE,2024-03-15T23:19:22.201Z,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,BIOCASE,2024-03-15T23:19:22.201Z,2024-03-15T21:43:29.197Z,TRUE,,,FALSE,LATIN_AMERICA,EUROPE,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.1_1,Golfito,LC
891100082,CC_BY_4_0,2020-05-18T16:56:31Z,,https://www.inaturalist.org/observations/132365,Thorhold Souilljee,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,http://www.inaturalist.org/observations/132365,132365,,Thorhold Souilljee,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2012-04-19 00:00:00+00:00,,110,110,2012,4,19,4/19/12,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,corcovado costa rica,,,,,,,,8.540835,-83.570964,21355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197577,,,,Thorhold Souilljee,,2012-10-08T18:13:12,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T21:36:20.341Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T21:36:20.341Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4974171866,CC_BY_NC_4_0,2024-10-19T17:37:25Z,,https://www.inaturalist.org/observations/247744408,Hubert Lagrange,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/247744408,247744408,,Hubert Lagrange,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2023-11-29 23:05:00+00:00,23:05:00-06:00,333,333,2023,11,29,11/29/23 23:05,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Provincia de Puntarenas, Puerto Jiménez, Costa Rica",,,,,,,,8.479165,-83.594877,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553445911,,,,Hubert Lagrange,,2024-10-17T10:28:34,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:23:56.999Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:23:56.999Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4955956878,CC_BY_NC_4_0,2024-09-04T09:28:00Z,,,Stichting Observation International,,,,,,,,,HUMAN_OBSERVATION,,,,https://observation.org/observation/326954358,,,User 441748,,25,,,,Unknown,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,Observation,,2014-12-01 00:00:00+00:00,15:45,335,335,2014,12,1,,unknown,seen,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,Corcovado NP,,,,,,,,,8.473476,-83.589478,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved | Automated,,,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,Collared Peccary,,ACCEPTED,,,8a863029-f435-446a-821e-275f4f641165,NL,2024-10-22T20:11:53.766Z,,,,,,,,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-10-22T20:11:53.766Z,2024-10-21T14:26:25.196Z,TRUE,,,FALSE,LATIN_AMERICA,EUROPE,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4954430701,CC_BY_NC_4_0,2024-10-13T23:06:31Z,,https://www.inaturalist.org/observations/247198047,leshibug,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/247198047,247198047,,leshibug,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-10-06 22:13:00+00:00,22:13:00-06:00,280,280,2024,10,6,10/6/24 22:13,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Provincia de Puntarenas, Puerto Jiménez, Costa Rica",,,,,,,,8.607569,-83.445505,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552153040,,,,leshibug,,2024-10-13T21:15:37,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:24:19.336Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:24:19.336Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4953198263,CC_BY_NC_4_0,2024-10-24T23:21:30Z,,https://www.inaturalist.org/observations/246081026,maggiegrady,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/246081026,246081026,,maggiegrady,,,,,,Adult,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-10-06 19:51:27+00:00,19:51:27-06:00,280,280,2024,10,6,2024-10-06 19:51:27-06:00,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Golfito, Puntarenas, CR",,,,,,,,8.606442,-83.444092,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549652357,,,,maggiegrady,,2024-10-07T02:09:39,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:59:18.149Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:59:18.149Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4953190366,CC_BY_NC_4_0,2024-10-06T12:22:56Z,,https://www.inaturalist.org/observations/245259309,travellerthomas,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/245259309,245259309,,travellerthomas,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2023-01-27 08:09:00+00:00,08:09:00-06:00,27,27,2023,1,27,1/27/23 8:09,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Provincia de Puntarenas, Puerto Jiménez, Costa Rica",,,,,,,,8.445725,-83.443568,4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547915696,,,,travellerthomas,,2024-10-02T16:50:58,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T23:00:17.365Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T23:00:17.365Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4952821485,CC_BY_NC_4_0,2024-09-27T15:46:47Z,,https://www.inaturalist.org/observations/244288167,smalo44,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/244288167,244288167,,smalo44,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-06-16 13:55:00+00:00,13:55:00-06:00,168,168,2024,6,16,2024-06-16 15:55:00-04:00,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Corcovado National Park, Golfito, Puntarenas, CR",,,,,,,,8.536672,-83.573593,4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545765342,,,,smalo44,,2024-09-27T12:03:30,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:23:13.427Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:23:13.427Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4950440993,CC_BY_NC_4_0,2024-09-23T12:36:24Z,,https://www.inaturalist.org/observations/243340050,Tony King,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/243340050,243340050,,Tony King,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-08-16 10:37:00+00:00,10:37:00-06:00,229,229,2024,8,16,8/16/24 10:37,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"La Sirena, Corcovado National Park, Costa Rica",,,,,,,,8.477304,-83.588617,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543687403,,,,Tony King,,2024-09-22T14:17:03,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:19:36.331Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:19:36.331Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4950005701,CC_BY_NC_4_0,2024-09-23T12:41:09Z,,https://www.inaturalist.org/observations/243307011,Tony King,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/243307011,243307011,,Tony King,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-08-16 07:33:00+00:00,07:33:00-06:00,229,229,2024,8,16,8/16/24 7:33,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"La Sirena, Corcovado National Park, Costa Rica",,,,,,,,8.473826,-83.593631,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543621697,,,,Tony King,,2024-09-22T11:14:47,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:18:41.862Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:18:41.862Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4949912572,CC_BY_NC_4_0,2024-09-23T12:41:18Z,,https://www.inaturalist.org/observations/243307006,Tony King,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/243307006,243307006,,Tony King,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-08-16 07:23:00+00:00,07:23:00-06:00,229,229,2024,8,16,8/16/24 7:23,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"La Sirena, Corcovado National Park, Costa Rica",,,,,,,,8.472067,-83.592037,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543621689,,,,Tony King,,2024-09-22T11:14:47,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:58:50.046Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:58:50.046Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4935816264,CC_BY_NC_4_0,2024-08-31T16:15:51Z,,https://www.inaturalist.org/observations/238976632,barry_thomson,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/238976632,238976632,,barry_thomson,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-08-31 08:47:02+00:00,08:47:02-06:00,244,244,2024,8,31,2024-08-31 07:47:02-07:00,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Golfito, CR-PU, CR",,,,,,,,8.403225,-83.334841,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534535305,,,,barry_thomson,,2024-08-31T15:15:44,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,GB,2024-11-10T22:22:18.109Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:22:18.109Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,EUROPE,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4925965344,CC_BY_NC_4_0,2024-08-19T02:37:36Z,,https://www.inaturalist.org/observations/236052307,Pedro Víctor Albaladejo Fresnadillo,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/236052307,236052307,,Pedro Víctor Albaladejo Fresnadillo,,,,,,,,,,,,,,,PRESENT,,,,,,,,Mucho más en http://azulpalidophoto.blogspot.com/,,,,,,,,,,,,,,,2022-11-22 00:00:00+00:00,,326,326,2022,11,22,11/22/22,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Golfito, CR-PU, CR",,,,,,,,8.475556,-83.5925,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528283040,,,,Pedro Víctor Albaladejo Fresnadillo,,2024-08-16T09:29:08,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:58:04.400Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:58:04.400Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4925843513,CC_BY_NC_4_0,2024-08-20T23:02:29Z,,https://www.inaturalist.org/observations/236053694,Pedro Víctor Albaladejo Fresnadillo,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/236053694,236053694,,Pedro Víctor Albaladejo Fresnadillo,,,,,,,,,,,,,,,PRESENT,,,,,,,,Mucho más en http://azulpalidophoto.blogspot.com/,,,,,,,,,,,,,,,2022-11-22 00:00:00+00:00,,326,326,2022,11,22,11/22/22,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Golfito, CR-PU, CR",,,,,,,,8.466221,-83.592022,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528286726,,,,Pedro Víctor Albaladejo Fresnadillo,,2024-08-16T09:45:46,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:58:23.130Z,,,,,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:58:23.130Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
4921806250,CC_BY_NC_4_0,2024-08-22T01:27:31Z,,https://www.inaturalist.org/observations/233300566,skh83,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/233300566,233300566,,skh83,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2022-08-20 08:43:00+00:00,08:43:00-06:00,232,232,2022,8,20,8/20/22 8:43,,,,,,,,,,,NORTH_AMERICA,,,,CR,Puntarenas,,,,"Provincia de Puntarenas, Puerto Jiménez, Costa Rica",,,,,,,,8.466306,-83.591033,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522523845,,,,skh83,,2024-08-02T15:42:08,,,,42113,,,,,,,,"Pecari tajacu (Linnaeus, 1758)",,,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,,Tayassuidae,,,,Pecari,Pecari,,,tajacu,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-11-10T22:20:45.102Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,TRUE,FALSE,2440995,2440995,1,44,359,731,5303,2440994,,2440995,Pecari tajacu,"Pecari tajacu (Linnaeus, 1758)",Pecari tajacu,,DWC_ARCHIVE,2024-11-10T22:20:45.102Z,2024-11-10T05:16:49.967Z,TRUE,,,FALSE,LATIN_AMERICA,NORTH_AMERICA,CRI,Costa Rica,CRI.6_1,Puntarenas,CRI.6.7_1,Golfito,CRI.6.7.4_1,Puerto Jiménez,LC
